
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    [::]:53866             [::]:0                 LISTENING       980
  TCP    [::]:57445             [::]:0                 LISTENING       3320
  TCP    [::]:61978             [::]:0                 LISTENING       11872
  TCP    [::1]:5050             [::]:0                 LISTENING       21344
  TCP    [::1]:5050             [::1]:57945            TIME_WAIT       0
  TCP    [::1]:5050             [::1]:57946            TIME_WAIT       0
  TCP    [::1]:5050             [::1]:57948            TIME_WAIT       0
  TCP    [::1]:5050             [::1]:57950            TIME_WAIT       0
  TCP    [::1]:5050             [::1]:57951            TIME_WAIT       0
  TCP    [::1]:5050             [::1]:57953            TIME_WAIT       0
  TCP    [::1]:5050             [::1]:57955            TIME_WAIT       0
  TCP    [::1]:5050             [::1]:57956            TIME_WAIT       0
  TCP    [::1]:5050             [::1]:57957            TIME_WAIT       0
  TCP    [::1]:5050             [::1]:57958            TIME_WAIT       0
  TCP    [::1]:5050             [::1]:57959            TIME_WAIT       0
  TCP    [::1]:5050             [::1]:57960            TIME_WAIT       0
  TCP    [::1]:5050             [::1]:57961            TIME_WAIT       0
  TCP    [::1]:5050             [::1]:57963            TIME_WAIT       0
  TCP    [::1]:5050             [::1]:57964            TIME_WAIT       0
  TCP    [::1]:5050             [::1]:57965            TIME_WAIT       0
  TCP    [::1]:5050             [::1]:57966            TIME_WAIT       0
  TCP    [::1]:5050             [::1]:57967            TIME_WAIT       0
  TCP    [::1]:5050             [::1]:57968            TIME_WAIT       0
  TCP    [::1]:5050             [::1]:57969            TIME_WAIT       0
  TCP    [::1]:5050             [::1]:57970            TIME_WAIT       0
  TCP    [::1]:5050             [::1]:57971            TIME_WAIT       0
  TCP    [::1]:5050             [::1]:57972            TIME_WAIT       0
  TCP    [::1]:5050             [::1]:57973            TIME_WAIT       0
  TCP    [::1]:5050             [::1]:57975            TIME_WAIT       0
  TCP    [::1]:5050             [::1]:57977            TIME_WAIT       0
  TCP    [::1]:5050             [::1]:57978            TIME_WAIT       0
  TCP    [::1]:5050             [::1]:57979            TIME_WAIT       0
  TCP    [::1]:5050             [::1]:57980            TIME_WAIT       0
  TCP    [::1]:5050             [::1]:57981            TIME_WAIT       0
  TCP    [::1]:5050             [::1]:57982            TIME_WAIT       0
  TCP    [::1]:5050             [::1]:57984            FIN_WAIT_2      21344
  TCP    [::1]:5050             [::1]:57985            FIN_WAIT_2      21344
  TCP    [::1]:5050             [::1]:57986            FIN_WAIT_2      21344
  TCP    [::1]:5050             [::1]:57987            FIN_WAIT_2      21344
  TCP    [::1]:5432             [::1]:57817            ESTABLISHED     9232
  TCP    [::1]:12025            [::]:0                 LISTENING       2696
  TCP    [::1]:12110            [::]:0                 LISTENING       2696
  TCP    [::1]:12119            [::]:0                 LISTENING       2696
  TCP    [::1]:12143            [::]:0                 LISTENING       2696
  TCP    [::1]:12465            [::]:0                 LISTENING       2696
  TCP    [::1]:12563            [::]:0                 LISTENING       2696
  TCP    [::1]:12993            [::]:0                 LISTENING       2696
